designation,source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,ruwe,phot_g_mean_mag,visibility_periods_used,astrometric_sigma5d_max,astrometric_gof_al,parallax_over_error
Gaia DR3 2020089287315478400,2020089287315478400,295.8028719626329,23.28442400327314,0.012784008,0.015131727,0.41558604334997684,0.021147763,-1.6352574802482984,0.014617885,-5.334895514156569,0.020166392,-0.10830771,-0.012273874,-0.7841704,0.013660896,0.07827654,0.10027715,-0.3504612,-0.06246951,-0.18383911,0.07498996,0.99904674,14.561014,23,0.028764632,-0.021194553,19.651537
Gaia DR3 2020089356034966528,2020089356034966528,295.79337373414046,23.29720857665375,0.008502442,0.0106075825,0.4371809664631705,0.015422293,-1.8925709026476962,0.009819436,-5.107251335889945,0.013996714,-0.061265994,0.0076049003,-0.7444114,0.018526793,0.105661586,0.054273587,-0.3639753,-0.08977382,-0.32113156,0.051486257,1.0699552,12.332894,23,0.02027225,2.778065,28.34734
Gaia DR3 2020092551490536704,2020092551490536704,295.7858164822165,23.429326882311557,0.015295822,0.019360766,0.48399117509178424,0.028564917,-1.84643413434598,0.01747964,-5.339835729415625,0.026628928,-0.04342689,0.024072796,-0.696382,-0.027767153,0.009437903,0.027426124,-0.2737876,-0.11451399,-0.2631803,0.08654713,0.97938883,15.437084,24,0.037913024,-0.8355746,16.943552
Gaia DR3 2020096017512584064,2020096017512584064,295.64416085944407,23.31465991947474,0.007912252,0.00985025,0.42074261324902057,0.013557025,-1.7957421591377845,0.008820711,-5.61865073370646,0.013005102,-0.19520648,-0.122505374,-0.7548354,0.14105666,0.08243594,0.18746945,-0.33317572,0.046886757,-0.20664833,-0.060189243,1.0800624,12.342535,23,0.018662486,3.2517078,31.035025
Gaia DR3 2020095403348709376,2020095403348709376,295.5690823501006,23.254971352088745,0.008019961,0.008451041,0.47036867419469575,0.012661804,-1.5109696877178194,0.009156984,-5.344003241533268,0.011269687,-0.010893047,0.023735987,-0.770308,-0.094334215,0.12822333,0.011174983,-0.15395735,-0.10513628,-0.22299361,0.17358509,0.9451877,13.208071,25,0.016466742,-2.1584053,37.14863
Gaia DR3 2020097224415105792,2020097224415105792,295.58902909299843,23.368573656930806,0.0071139103,0.009778111,0.4285673607974123,0.014457967,-1.7901430738297672,0.008186405,-5.260004617584446,0.013378742,-0.071601875,0.013997349,-0.7054067,-0.011700531,0.1666458,0.069148235,-0.20872888,-0.102966584,-0.23619898,0.12381779,0.9970044,13.034884,23,0.018954543,-0.1053309,29.642298
Gaia DR3 2020102721973255296,2020102721973255296,295.72908192222985,23.404077960202184,0.010310551,0.013660652,0.41126653163434085,0.018916178,-1.5831245362757733,0.01152239,-5.172681612853378,0.018400185,-0.116003364,-0.09149169,-0.7359535,0.08158049,0.054186843,0.10926418,-0.36940727,-0.016946537,-0.27854916,0.014421999,1.382674,13.680032,24,0.026425788,15.647259,21.741524
Gaia DR3 2020103134290110720,2020103134290110720,295.6201966713153,23.385162564574408,0.008259307,0.011853164,0.463042012100434,0.01717229,-1.6727407785606228,0.009342248,-5.030154541658898,0.016379049,-0.06515816,-0.010947431,-0.698714,0.032559276,0.13607545,0.063971356,-0.31861964,-0.111632824,-0.33181807,0.08979626,0.9469759,13.845436,22,0.023545397,-2.1476247,26.964489
Gaia DR3 2020082720295815424,2020082720295815424,295.71797384739887,23.217819030481376,0.021042021,0.023801006,0.4339034699168219,0.03528763,-2.0758288790975357,0.024198875,-5.543605037870406,0.032152172,-0.038984295,0.05728935,-0.77545726,-0.07237795,0.09809092,0.0100602675,-0.3611463,-0.13374473,-0.3145424,0.13229014,0.99450845,15.83427,23,0.04703208,-0.20874052,12.296192
Gaia DR3 2020088874998603904,2020088874998603904,295.7759403224252,23.26419869461293,0.012882463,0.0154437125,0.4295802335402599,0.022268476,-1.6708472167408681,0.01474867,-5.420483918467664,0.020319218,-0.14033481,0.03785997,-0.7562981,0.024990845,-0.03999128,0.10930278,-0.29674307,-0.0759614,-0.29653093,0.005707434,0.9998447,14.746993,24,0.029052062,0.010597426,19.290958
Gaia DR3 2020088909358349056,2020088909358349056,295.7897241065431,23.2763661977037,0.0093061505,0.010934478,0.4526365150310274,0.015883533,-1.9376843292910355,0.010726975,-5.336768807412595,0.01421318,-0.15527411,0.007751189,-0.7635483,0.043454263,0.063826986,0.121717595,-0.3253132,-0.09583526,-0.23260874,0.010020368,1.0062145,13.778595,22,0.020316789,0.2616391,28.497217
Gaia DR3 2020089356034968320,2020089356034968320,295.7914054556223,23.29886036979821,0.015042463,0.017964168,0.43412716943332047,0.025606876,-1.8956201609307581,0.01707434,-5.241908626613112,0.024186712,-0.08256139,-0.05249525,-0.7688626,0.034351375,0.06503558,0.07998615,-0.32134685,-0.04578904,-0.2942274,0.049381968,1.5743046,11.126795,24,0.034640756,22.286068,16.953539
Gaia DR3 2020092031782928768,2020092031782928768,295.8055803799537,23.369736236496475,0.0073691746,0.009950128,0.4558020828762255,0.014671154,-1.7323676720919892,0.008317054,-5.348806543441033,0.013665781,-0.033749584,0.014679523,-0.71949774,-0.035250954,0.08205829,0.014752942,-0.31836513,-0.12724768,-0.3135625,0.11592129,0.91999495,12.906792,24,0.019670513,-3.3946948,31.067907
Gaia DR3 2020083686677900288,2020083686677900288,295.6329472285054,23.260855523985413,0.02619185,0.03279877,0.45420943104968203,0.045310736,-1.6630653480800155,0.030047327,-5.041614235062016,0.042545836,-0.026721107,0.03138657,-0.7265588,-0.04758579,0.08537155,0.03405927,-0.25533426,-0.10698783,-0.10876709,0.1447518,1.7985262,15.414924,25,0.06044644,29.285353,10.0243225
Gaia DR3 2020088016005191552,2020088016005191552,295.85680942452063,23.323020806826193,0.016339188,0.01972173,0.46830616866946423,0.03004738,-1.7051613919230795,0.018403172,-5.253735660742556,0.028128244,-0.09261071,-0.1391712,-0.7498174,0.11995792,-0.047617014,0.11577672,-0.25776953,0.05582718,-0.3123395,-0.029212045,1.053354,15.270569,22,0.04012634,2.1699967,15.585591
Gaia DR3 2020088905051212672,2020088905051212672,295.77815483157127,23.27699839731575,0.012109767,0.012985963,0.46242624098071805,0.020016888,-1.9886607743619822,0.013510298,-5.533090944262321,0.017159717,-0.10275706,-0.00046019247,-0.7635218,0.053281434,0.080834284,0.09359813,-0.33906782,-0.11615386,-0.26512995,0.02454723,1.0087098,14.276699,21,0.02467758,0.3416952,23.101805
Gaia DR3 2020089351728656128,2020089351728656128,295.78816868820684,23.30324717733034,0.011525142,0.013857304,0.47652143471848757,0.020771932,-1.5843221715474125,0.013116058,-5.411980066815168,0.018644216,-0.036740292,-0.013119482,-0.77776206,0.01643681,0.14690094,0.049773667,-0.30067146,-0.052852515,-0.31691328,0.06181733,1.2784426,13.010782,23,0.026825422,10.558603,22.940641
Gaia DR3 2020089356034966400,2020089356034966400,295.7876967099035,23.296925106651734,0.010602301,0.013613684,0.43985311096406127,0.019609572,-1.9306264757599685,0.012014134,-5.372191809673721,0.016800541,-0.16459112,0.040558815,-0.7823532,0.0053266594,0.03930011,0.124078214,-0.33508414,-0.14393339,-0.27786568,0.06259987,1.0488042,14.172446,21,0.02428466,1.9628655,22.43053
Gaia DR3 2020089596553156992,2020089596553156992,295.78469781876413,23.320466477805287,0.011935577,0.013684149,0.48666794767657495,0.019416844,-1.6757383367627565,0.013573081,-5.37180058021086,0.01794213,-0.043451745,0.015860941,-0.7965426,-0.004414387,0.09621967,0.04637223,-0.34963158,-0.09491162,-0.28402176,0.07771312,1.0142038,14.442269,24,0.025899846,0.5930313,25.064215
Gaia DR3 2020103099930371328,2020103099930371328,295.61038833577544,23.383164869625716,0.012512801,0.017151123,0.46946357436753244,0.024998467,-2.083474681241765,0.014392987,-5.298907692408268,0.024018137,-0.021132948,0.018851927,-0.7048299,-0.017953405,0.19136566,0.03290825,-0.28341082,-0.100375175,-0.3238273,0.14122741,0.98555076,15.018273,22,0.03449574,-0.5882043,18.779694
